Transaction ID,Customer ID,Transaction Amount,Transaction Date and Time,Merchant Category,Location,Previous Transaction Amount,Time Since Last Transaction,Device Type,Fraud
1,4174,659.2970949237193,2023-01-01 00:00:00,Clothing,Los Angeles,579.323703946273,481.3775163758485,desktop,No
2,4507,474.0464524199665,2023-01-01 00:01:00,Dining,Houston,407.22027083967254,1159.2110752857582,desktop,No
3,1860,498.81956985772194,2023-01-01 00:02:00,Dining,San Francisco,265.58360498731946,720.6772838069196,desktop,No
4,2294,744.1995916438102,2023-01-01 00:03:00,Electronics,Los Angeles,1097.2590808182406,1.0,mobile,No
5,2130,279.18124672253435,2023-01-01 00:04:00,Electronics,Los Angeles,238.3896818189571,1378.9587210496718,mobile,No
6,2095,395.32379013888345,2023-01-01 00:05:00,Dining,New York,421.9261052523351,548.7067853000282,mobile,No
7,4772,967.6492326467582,2023-01-01 00:06:00,Groceries,Los Angeles,1226.7670734153269,331.3190882562949,desktop,No
8,4092,16.558875403004087,2023-01-01 00:07:00,Dining,Chicago,78.16360529654565,662.7240410497906,desktop,No
9,2638,533.0757128647973,2023-01-01 00:08:00,Dining,Los Angeles,553.5566819689858,896.8145828348424,mobile,No
10,3169,909.7492268830443,2023-01-01 00:09:00,Electronics,Chicago,571.664420978202,505.0320362241219,mobile,No
11,1466,574.1756524241475,2023-01-01 00:10:00,Travel,Houston,530.3132150927613,1237.9192978454566,mobile,No
12,2238,568.2208610460434,2023-01-01 00:11:00,Clothing,Houston,553.5751002654736,420.08138392499444,desktop,No
13,1330,208.31476437350287,2023-01-01 00:12:00,Electronics,Chicago,117.03371870622932,259.80668033918704,desktop,No
14,2482,856.3621145805994,2023-01-01 00:13:00,Groceries,Houston,36.51517167949686,170.65710910071104,mobile,Yes
15,3135,916.8465284001927,2023-01-01 00:14:00,Clothing,New York,1004.4087173751266,27.691886325782818,mobile,No
16,4444,499.0872057679282,2023-01-01 00:15:00,Electronics,Houston,767.1564436164765,797.556443432394,desktop,No
17,4171,525.8202288312699,2023-01-01 00:16:00,Electronics,Los Angeles,719.1491297957385,1431.4360686295545,desktop,No
18,3919,145.05927530388243,2023-01-01 00:17:00,Travel,Houston,113.03237226877184,399.04062559152794,desktop,No
19,4735,1.0,2023-01-01 00:18:00,Groceries,Houston,0.0,374.313796242037,mobile,No
20,1130,1019.352545305847,2023-01-01 00:19:00,Groceries,Chicago,1190.2423331746886,1214.0522970439388,mobile,No
21,2685,409.3457574925424,2023-01-01 00:20:00,Electronics,New York,450.11446220484464,456.9307788474818,desktop,No
22,4380,776.3913949107382,2023-01-01 00:21:00,Travel,Chicago,488.36954440481423,605.1719126393041,mobile,No
23,1769,89.10843760738445,2023-01-01 00:22:00,Electronics,Houston,93.44466135583284,103.6273778323358,mobile,No
24,3391,778.2917515166762,2023-01-01 00:23:00,Dining,San Francisco,797.6752369893555,299.17156649652395,desktop,No
25,2515,873.6210026501833,2023-01-01 00:24:00,Dining,Los Angeles,1025.0396639176276,216.9313803646341,desktop,No
26,4485,537.8955372317388,2023-01-01 00:25:00,Travel,Houston,506.4976309125779,1.0,mobile,No
27,3853,183.709305048652,2023-01-01 00:26:00,Electronics,Chicago,151.20981116443107,688.9921280394178,desktop,No
28,3433,555.7737276196597,2023-01-01 00:27:00,Travel,San Francisco,784.2540771661637,426.5612452570424,mobile,No
29,2215,744.6042897283093,2023-01-01 00:28:00,Electronics,San Francisco,1053.7977745891912,175.60506380172444,mobile,No
30,1955,502.61378134340646,2023-01-01 00:29:00,Electronics,Houston,332.24772777546076,781.8653540305979,desktop,No
31,3324,915.4185567593416,2023-01-01 00:30:00,Dining,New York,829.5324496340654,1294.580950664363,mobile,No
32,2184,677.7856331445096,2023-01-01 00:31:00,Clothing,San Francisco,532.5027747449011,1226.3110411651087,mobile,No
33,1459,915.3378323662217,2023-01-01 00:32:00,Groceries,Los Angeles,1106.6936267946169,425.94562205379674,desktop,No
34,4385,644.7710526253744,2023-01-01 00:33:00,Groceries,Chicago,824.883300649432,435.87609415310874,desktop,No
35,1021,46.26068929229373,2023-01-01 00:34:00,Travel,Chicago,84.65178749362858,1173.9475604355955,desktop,No
36,3300,320.2009463062111,2023-01-01 00:35:00,Groceries,Chicago,444.76254796637,900.472064129583,desktop,No
37,1747,169.3694711708762,2023-01-01 00:36:00,Dining,Houston,228.5660549119135,977.8881650394982,mobile,No
38,3904,961.2947022917824,2023-01-01 00:37:00,Clothing,Chicago,649.841971336535,46.64163890027938,mobile,No
39,4632,726.7417903621803,2023-01-01 00:38:00,Electronics,Chicago,670.5898425795677,95.717362743551,mobile,No
40,1474,1052.2110013497409,2023-01-01 00:39:00,Electronics,Los Angeles,183.63087426679218,535.2746175569744,mobile,Yes
41,2082,234.90779195092261,2023-01-01 00:40:00,Dining,New York,276.36636548211084,1300.620411971235,mobile,No
42,3558,217.8320000345215,2023-01-01 00:41:00,Groceries,Houston,111.78123481628158,472.2315649921908,desktop,No
43,4753,829.4348709085058,2023-01-01 00:42:00,Electronics,Houston,937.2312251750783,1361.3022444535836,desktop,No
44,3047,431.1320020632006,2023-01-01 00:43:00,Groceries,Chicago,577.4525236403356,279.83703629395666,desktop,No
45,4547,194.3760944447792,2023-01-01 00:44:00,Dining,Los Angeles,249.62465750682128,1299.5021166095949,mobile,No
46,3747,668.0629939128941,2023-01-01 00:45:00,Electronics,San Francisco,371.15937063695037,548.9006141816151,desktop,No
47,1975,39.28143416379365,2023-01-01 00:46:00,Travel,Chicago,80.5446302661606,831.6920124058172,mobile,No
48,2806,338.60509641893117,2023-01-01 00:47:00,Clothing,Chicago,292.36158677082693,1218.5273694933553,desktop,Yes
