,CustomerID,Age,Location,Device,Month_1_Spend,Month_1_Items,Month_1_Support_Calls,Month_2_Spend,Month_2_Items,Month_2_Support_Calls,Month_3_Spend,Month_3_Items,Month_3_Support_Calls,Month_4_Spend,Month_4_Items,Month_4_Support_Calls,Month_5_Spend,Month_5_Items,Month_5_Support_Calls,Month_6_Spend,Month_6_Items,Month_6_Support_Calls,Month_7_Spend,Month_7_Items,Month_7_Support_Calls,Month_8_Spend,Month_8_Items,Month_8_Support_Calls,Month_9_Spend,Month_9_Items,Month_9_Support_Calls,Month_10_Spend,Month_10_Items,Month_10_Support_Calls,Month_11_Spend,Month_11_Items,Month_11_Support_Calls,Month_12_Spend,Month_12_Items,Month_12_Support_Calls,Churn
0,1,46,US,iOS,756.0057608545819,39,2,582.0230749287041,92,2,212.32354022547386,96,4,161.35134866722512,93,3,845.591427862583,77,3,664.2092687750456,61,0,819.002361162673,29,0,602.3616867277044,56,1,821.6340803635536,30,5,280.3978268284859,60,0,700.1815102158616,66,3,382.71968162396826,59,0,1
1,2,52,US,iOS,594.8381572468294,59,0,251.26989800681082,33,2,186.90975171941983,63,4,773.3038293967311,34,0,297.1600792493608,39,0,528.0341035782633,99,1,456.57221027036394,51,5,140.45289316153622,80,5,119.90054518875792,40,1,863.0006449273939,89,1,571.3313524086561,28,3,570.2039746817502,89,0,1
2,3,43,Canada,Android,453.21740511071266,21,3,124.17894642297458,92,0,316.49240669017877,40,5,356.41589368706076,99,1,675.1262731842435,81,0,526.5191391464361,90,4,289.8800264463906,68,2,742.7940053018034,43,4,339.85558823655145,46,2,858.5459904055832,60,5,198.2226835364396,38,1,187.47576353445004,79,5,1
3,4,41,US,iOS,621.4531698752662,95,1,134.362559189547,46,5,162.94552854810354,65,2,309.0534552414017,99,0,823.619024693131,80,5,348.2238302638089,65,0,512.1669731949805,39,0,506.5483226345228,72,5,569.5768714015537,94,0,404.59014580738204,59,3,565.3955918766153,78,1,281.41509243450326,63,4,1
4,5,41,US,iOS,660.7351192068954,48,5,713.265526891073,54,2,736.904462839419,69,1,318.64426411656973,65,1,365.2031209779088,44,0,742.5259144286078,70,3,268.6356192350694,34,3,227.93845189397345,75,0,199.74273387402974,67,0,178.14343793320523,85,1,574.3820941794015,34,2,544.9819852225875,28,2,1
5,6,44,Canada,iOS,379.34192938297247,102,0,192.80199050140823,78,5,210.8532203899132,20,3,655.9405440076663,62,0,80.02372423299853,44,1,725.5878560914275,24,3,126.64543514565769,47,2,829.7009720637112,39,1,515.3702825361443,52,4,799.0759888876898,75,0,391.5905688366784,47,3,725.1958203085183,90,4,1
6,7,59,Canada,Android,648.74833147135,112,1,869.2024224163306,86,4,533.3409472514742,35,5,116.90986731822173,85,4,103.15510615273341,103,4,499.6302706213906,48,4,146.55310124359374,100,2,563.1968354928522,48,3,755.2754591055218,98,2,192.9190627840434,56,0,846.4784779148423,67,5,295.46447421154653,28,0,1
7,8,57,Canada,iOS,863.6238176461871,64,4,243.21788802355022,40,1,622.1179730953079,18,3,508.3139761197813,69,1,241.981287840443,91,3,254.17381744335057,90,0,725.0627080563012,50,0,545.5671553102604,84,0,286.37947400261874,30,4,847.159158595022,65,4,253.50256795447254,59,1,592.2576434579039,77,0,1
8,9,24,Canada,iOS,540.0841897251594,73,5,779.5033490412438,78,1,533.3222083226844,54,3,273.7154954461172,39,3,444.1105631251496,67,3,433.2474101083263,92,3,187.5348082670353,94,2,606.3735818079145,27,4,539.095054152501,43,1,199.0541412152033,19,2,674.1648165154405,18,1,367.0266987219491,43,4,1
9,10,45,US,Android,483.5885071314303,64,3,442.08231511315506,17,3,378.09056457720015,53,4,156.43672740464245,25,4,294.3759558115688,23,0,796.5802650074879,17,1,149.37484549564334,41,2,783.8846552522339,24,2,831.3292348861606,75,5,631.7878414069935,16,2,835.0770909432234,57,1,843.4948512476316,50,0,1
